id,character,dialogue,word_count
63,THREEPIO,"That malfunctioning little twerp.  This is all his fault!  He tricked me into going this way, but he'll do no better.",22
64,THREEPIO,"Wait, what's that?  A transport!  I'm saved!",9
65,THREEPIO,"Over here!  Help!  Please, help!",5
66,LUKE,"... so I cut off my power, shut down the afterburners and came in low on Deak's trail.  I was so close I thought I was going to fry my instruments. As it was I busted up the Skyhopper pretty bad.  Uncle Owen was pretty upset.  He grounded me for the rest of the season.  You should have been there... it was fantastic.",63
67,BIGGS,"You ought to take it a little easy Luke.  You may be the hottest bushpilot this side of Mos Eisley, but those little Skyhoppers are dangerous.  Keep it up, and one day, whammo, you're going to be nothing more than a dark spot on the down side of a canyon wall.",52
68,LUKE,Look who's talking.  Now that you've been around those giant starships you're beginning to sound like my uncle. You've gotten soft in the city...,28
69,BIGGS,I've missed you kid.,5
70,LUKE,"Well, things haven't been the same since you left, Biggs.  It's been so...quiet.",16
71,BIGGS,"Luke, I didn't come back just to say goodbye...  I shouldn't tell you this, but you're the only one I can trust... and if I don't come back, I want somebody to know.",37
72,LUKE,What are you talking about?,5
73,BIGGS,"I made some friends at the Academy. ... when our frigate goes to one of the central systems, we're going to jump ship and join the Alliance...",27
74,LUKE,Join the Rebellion?!  Are you kidding!  How?,7
75,BIGGS,Quiet down will ya!  You got a mouth bigger than a meteor crater!,13
76,LUKE,I'm sorry.  I'm quiet. Listen how quiet I am.  You can barely hear me...,16
77,BIGGS,My friend has a friend on Bestine who might help us make contact.,13
78,LUKE,around forever trying to find them.,6
79,BIGGS,"I know it's a long shot, but if I don't find them I'll do what I can on my own...  It's what we always talked about.  Luke, I'm not going to wait for the Empire to draft me into service.  The Rebellion is spreading and I want to be on the right side - the side I believe in.",63
80,LUKE,And I'm stuck here...,5
81,BIGGS,I thought you were going to the Academy next term.  You'll get your chance to get off this rock.,20
82,LUKE,Not likely!  I had to cancel my application.  There has been a lot of unrest among the Sand People since you left... they've even raided the outskirts of Anchorhead.,30
83,BIGGS,Your uncle could hold off a whole colony of Sand People with one blaster.,14
84,LUKE,"I know, but he's got enough vaporators going to make the place pay off.  He needs me for just one more season.  I can't leave him now.",29
85,BIGGS,"I feel for you, Luke, you're going to have to learn what seems to be important or what really is important.  What good is all your uncle's work if it's taken over by the Empire?...  You know they're starting to nationalize commerce in the central systems...it won't be long before your uncle is merely a tenant, slaving for the greater glory of the Empire.",70
86,LUKE,It couldn't happen here.  You said it yourself.  The Empire won't bother with this rock.,17
87,BIGGS,Things always change.,3
88,LUKE,I wish I was going...  Are you going to be around long?,12
89,BIGGS,"No, I'm leaving in the morning...",7
90,LUKE,Then I guess I won't see you.,8
91,BIGGS,Maybe someday...  I'll keep a lookout.,7
92,LUKE,"Well, I'll be at the Academy next season... after that who knows.  I won't be drafted into the Imperial Starfleet that's for sure...  Take care of yourself, you'll always be the best friend I've got.",40
93,BIGGS,"So long, Luke.",3
94,THREEPIO,Artoo-Detoo!  It's you!  It's you!,8
95,FIRST,TROOPER Someone was in the pod.  The tracks go off in this direction.,13
96,SECOND,"TROOPER Look, sir - droids.",4
97,THREEPIO,Wake up!  Wake up!,4
98,THREEPIO,We're doomed.,3
99,THREEPIO,Do you think they'll melt us down?,8
100,THREEPIO,Don't shoot!  Don't shoot!  Will this never end?,10
101,BERU,"Luke, tell Owen that if he gets a translator to be sure it speaks Bocce.",15
102,LUKE,It looks like we don't have much of a choice but I'll remind him.,16
103,OWEN,I have no need for a protocol droid.,8
104,THREEPIO,Sir - not in an environment such as this - that's why I've also been programmed for over thirty secondary functions that...,22
105,OWEN,What I really need is a droid that understands the binary languages of moisture vaporators.,15
106,THREEPIO,Vaporators!  Sir - My first job was programming binary load lifters... very similar to your vaporators.  You could say...,18
107,OWEN,Do you speak Bocce?,4
108,THREEPIO,"Of course I can, sir.  It's like a second language for me...  I'm as fluent in Bocce...",19
109,OWEN,All right; shut up! I'll take this one.,9
110,THREEPIO,"Shutting up, sir.",3
111,OWEN,"Luke, take these two over to the garage, will you?  I want you to have both of them cleaned up before dinner.",22
112,LUKE,But I was going into Toshi Station to pick up some power converters...,13
113,OWEN,"You can waste time with your friends when your chores are done.  Now, come on, get to it!",18
114,LUKE,"All right, come on!  And the red one, come on.  Well, come on, Red, let's go.",17
115,LUKE,Uncle Owen...,2
116,OWEN,Yeah?,1
117,LUKE,This R2 unit has a bad motivator.  Look!,8
118,OWEN,"Hey, what're you trying to push on us?",9
119,THREEPIO,"Excuse me, sir, but that R2 unit is in prime condition.  A real bargain.",14
120,LUKE,Uncle Owen...,2
121,OWEN,Yeah?,1
122,LUKE,What about that one?,4
123,OWEN,What about that blue one?  We'll take that one.,10
124,LUKE,"Yeah, take it away.",4
125,THREEPIO,"Uh, I'm quite sure you'll be very pleased with that one, sir.  He really is in first-class condition.  I've worked with him before.  Here he comes.",30
126,LUKE,"Okay, let's go.",4
127,THREEPIO,"Now, don't forget this!  Why I should stick my neck out for you is quite beyond my capacity!",19
128,THREEPIO,"Thank the maker!  This oil bath is going to feel so good.  I've got such a bad case of dust contamination, I can barely move!",26
129,LUKE,"It just isn't fair.  Oh, Biggs is right.  I'm never gonna get out of here!",17
130,THREEPIO,Is there anything I might do to help?,8
131,LUKE,"Well, not unless you can alter time, speed up the harvest, or teleport me off this rock!",17
132,THREEPIO,"I don't think so, sir.  I'm only a droid and not very knowledgeable about such things.  Not on this planet, anyways.  As a matter of fact, I'm not even sure which planet I'm on.",38
133,LUKE,"Well, if there's a bright center to the universe, you're on the planet that it's farthest from.",20
134,THREEPIO,"I see, sir.",3
135,LUKE,"Uh, you can call me Luke.",6
136,THREEPIO,"I see, sir Luke.",4
137,LUKE,Just Luke.,2
138,THREEPIO,"And I am See-Threepio, human-cyborg relations, and this is my counterpart, Artoo-Detoo.",15
139,LUKE,Hello.,1
140,LUKE,You got a lot of carbon scoring here.  It looks like you boys have seen a lot of action.,19
141,THREEPIO,"With all we've been through, sometimes I'm amazed we're in as good condition as we are, what with the Rebellion and all.",25
142,LUKE,You know of the Rebellion against the Empire?,8
143,THREEPIO,"That's how we came to be in your service, if you take my meaning, sir.",16
144,LUKE,Have you been in many battles?,6
145,THREEPIO,"Several, I think.  Actually, there's not much to tell.  I'm not much more than an interpreter, and not very good at telling stories.  Well, not at making them interesting, anyways.",32
146,LUKE,"Well, my little friend, you've got something jammed in here real good.  Were you on a starcruiser or...",19
147,LEIA,"Help me, Obi-Wan Kenobi.  You'remy only hope.",9
148,LUKE,What's this?,3
149,THREEPIO,What is what?!?  He asked you a question...What is that?,11
150,LEIA,"Help me, Obi-Wan Kenobi.  You're my only hope.  Help me, Obi-Wan Kenobi.  You're my only hope.",20
151,THREEPIO,"Oh, he says it's nothing, sir.  Merely a malfunction.  Old data.  Pay it no mind.",16
152,LUKE,Who is she?  She's beautiful.,6
153,THREEPIO,"I'm afraid I'm not quite sure, sir.",9
154,LEIA,"Help me, Obi-Wan Kenobi...",5
155,THREEPIO,"I think she was a passenger on our last voyage.  A person of some importance, sir - I believe.  Our captain was attached to...",23
156,LUKE,Is there more to this recording?,6
157,THREEPIO,"Behave yourself, Artoo.  You're going to get us in trouble.  It's all right, you can trust him.  He's our new master.",24
158,THREEPIO,"He says he's the property of Obi-Wan Kenobi, a resident of these parts.  And it's a private message for him.  Quite frankly, sir, I don't know what he's talking about.  Our last master was Captain Antilles, but with what we've been through, this little R2 unit has become a bit eccentric.",57
159,LUKE,Obi-Wan Kenobi?  I wonder if he means old Ben Kenobi?,11
160,THREEPIO,"I beg your pardon, sir, but do you know what he's talking about?",14
161,LUKE,"Well, I don't know anyone named Obi-Wan, but old Ben lives out beyond the dune sea.  He's kind of a strange old hermit.",26
162,LUKE,I wonder who she is.  It sounds like she's in trouble.  I'd better play back the whole thing.,20
163,THREEPIO,"He says the restraining bolt has short circuited his recording system.  He suggests that if you remove the bolt, he might be able to play back the entire recording.",29
164,LUKE,"H'm?  Oh, yeah, well, I guess you're too small to run away on me if I take this off!  Okay.",22
165,LUKE,There you go.,3
166,LUKE,"Well, wait a minute.  Where'd she go?  Bring her back!  Play back the entire message.",16
167,THREEPIO,been playing.  The one you're carrying inside your rusty innards!,11
168,AUNT,BERU Luke?  Luke!  Come to dinner!,6
169,LUKE,"All right, I'll be right there, Aunt Beru.",9
170,THREEPIO,"I'm sorry, sir, but he appears to have picked up a slight flutter.",14
171,LUKE,"Well, see what you can do with him.  I'll be right back.",13
172,THREEPIO,Just you reconsider playing that message for him.,8
173,THREEPIO,"No, I don't think he likes you at all.",10
174,THREEPIO,"No, I don't like you either.",7
175,LUKE,"You know, I think that R2 unit we bought might have been stolen.",13
176,OWEN,What makes you think that?,5
177,LUKE,"Well, I stumbled across a recording while I was cleaning him.  He says he belongs to someone called Obi-Wan Kenobi.",21
178,LUKE,"I thought he might have meant Ben.  Do you know what he's talking about?  Well, I wonder if he's related to Ben.",24
179,OWEN,That old man's just a crazy wizard.  Tomorrow I want you to take that R2 unit into Anchorhead and have its memory flushed.  That'll be the end of it.  It belongs to us now.,36
180,LUKE,But what if this Obi-Wan comes looking for him?,10
181,OWEN,"He won't, I don't think he exists any more.  He died about the same time as your father.",20
182,LUKE,He knew my father?,4
183,OWEN,I told you to forget it.  Your only concern is to prepare the new droids for tomorrow.  In the morning I want them on the south ridge working out those condensers.,31
184,LUKE,"Yes, sir.  I think those new droids are going to work out fine.  In fact, I, uh, was also thinking about our agreement about my staying on another season.  And if these new droids do work out, I want to transmit my application to the Academy this year.",48
185,OWEN,You mean the next semester before harvest?,7
186,LUKE,"Sure, there're more than enough droids.",7
187,OWEN,Harvest is when I need you the most.  Only one more season.  This year we'll make enough on the harvest so I'll be able to hire some more hands.  And then you can go to the Academy next year.,41
188,OWEN,"You must understand I need you here, Luke.",8
189,LUKE,But it's a whole 'nother year.,7
190,OWEN,"Look, it's only one more season.",7
191,LUKE,"Yeah, that's what you said last year when Biggs and Tank left.",13
192,AUNT,BERU Where are you going?,5
193,LUKE,It looks like I'm going nowhere.  I have to finish cleaning those droids.,14
194,AUNT,"BERU Owen, he can't stay here forever.  Most of his friends have gone.  It means so much to him.",20
195,OWEN,I'll make it up to him next year.  I promise.,11
196,AUNT,"BERU Luke's just not a farmer, Owen.  He has too much of his father in him.",17
197,OWEN,That's what I'm afraid of.,7
198,LUKE,What are you doing hiding there?,6
199,THREEPIO,"It wasn't my fault, sir.  Please don't deactivate me.  I told him not to go, but he's faulty, malfunctioning; kept babbling on about his mission.",28
200,LUKE,"Oh, no!",2
201,THREEPIO,That R2 unit has always been a problem.  These astro-droids are getting quite out of hand.  Even I can't understand their logic at times.,26
202,LUKE,How could I be so stupid?  He's nowhere in sight.  Blast it!,13
203,THREEPIO,"Pardon me, sir, but couldn't we go after him?",10
204,LUKE,It's too dangerous with all the Sand People around.  We'll have to wait until morning.,17
205,OWEN,"Luke, I'm shutting the power down for the night.",10
206,LUKE,"All right, I'll be there in a few minutes.  Boy, am I gonna get it.",16
207,LUKE,You know that little droid is going to cause me a lot of trouble.,14
208,THREEPIO,"Oh, he excels at that, sir.",6
209,OWEN,Luke?  Luke?  Luke?  Where could he be loafing now!,9
210,OWEN,Have you seen Luke this morning?,6
211,AUNT,"BERU He said he had some things to do before he started today, so he left early.",17
212,OWEN,Uh?  Did he take those two new droids with him?,10
213,AUNT,BERU I think so.,4
214,OWEN,"Well, he'd better have those units in the south range repaired bemidday or there'll be hell to pay!",20
215,LUKE,How's that.,3
216,LUKE,"Old Ben Kenobi lives out in this direction somewhere, but I don't see how that R2 unit could have come this far.  We must have missed him.  Uncle Owen isn't going to take this very well.",38
217,THREEPIO,"Sir, would it help if you told him it was my fault.",12
218,LUKE,Sure.  He needs you.  He'd probably only deactivate you for a day or so...,15
219,THREEPIO,"Deactivate!  Well, on the other hand if you hadn't removed his restraining bolt...",14
220,LUKE,"Wait, there's something dead ahead on the scanner.  It looks like our droid... hit the accelerator.",17
221,LUKE,"Hey, whoa, just where do you think you're going?",10
222,THREEPIO,"Master Luke here is your rightful owner.  We'll have no more of this Obi-Wan Kenobi jibberish... and don't talk to me of your mission, either.  You're fortunate he doesn't blast you into a million pieces right here.",42
223,LUKE,"Well, come on. It's getting late.  I only hope we can get back before Uncle Owen really blows up.",20
224,THREEPIO,"If you don't mind my saying so, sir, I think you should deactivate the little fugitive until you've gotten him back to your workshop.",26
225,LUKE,"No, he's not going to try anything.",8
226,LUKE,What's wrong with him now?,6
227,THREEPIO,"Oh my... sir, he says there are several creatures approaching from the southeast.",13
228,LUKE,"Sand People!  Or worse!  Come on, let's have a look.  Come on.",13
229,LUKE,"There are two Banthas down there but I don't see any... wait a second, they're Sand People all right.  I can see one of them now.",28
230,BEN,Hello there!  Come here my little friend.  Don't be afraid.,11
231,BEN,"Don't worry, he'll be all right.",8
232,LUKE,What happened?,2
233,BEN,"Rest easy, son, you've had a busy day.  You're fortunate you're still in one piece.",18
234,LUKE,"Ben?  Ben Kenobi!  Boy, am I glad to see you!",10
235,BEN,"The Jundland Wastes are not to be traveled lightly.  Tell me, young Luke, what brings you out this far?",19
236,LUKE,"Oh, this little droid!  I think he's searching for his former master...  I've never seen such devotion in a droid before... there seems tobe no stopping him.  He claims to be the property of an Obi-Wan Kenobi.  Is he a relative of yours?  Do you know who he's talking about?",54
237,BEN,Obi-Wan Kenobi... Obi-Wan?  Now thats a name I haven't heard in a long time... a long time.,20
238,LUKE,I think my uncle knew him.  He said he was dead.,11
239,BEN,"Oh, he's not dead, no... not yet.",8
240,LUKE,You know him!,3
241,BEN,"Well of course, of course I know him.  He's me!  I haven't gone by the name Obi-Wan since oh, before you were born.",26
242,LUKE,Then the droid does belong to you.,7
243,BEN,Don't seem to remember ever owning a droid.  Very interesting...,11
244,BEN,I think we better get indoors.  The Sand People are easily startled but they will soon be back and in greater numbers.,22
245,LUKE,... Threepio!,1
246,THREEPIO,Where am I?  I must have taken a bad step...,10
247,LUKE,Can you stand?  We've got to get out of here before the Sand People return.,16
248,THREEPIO,"I don't think I can make it.  You go on, Master Luke.  There's no sense in you risking yourself on my account.  I'm done for.",28
249,LUKE,"No, you're not.  What kind of talk is that?",10
250,BEN,"Quickly, son... they're on the move.",7
251,LUKE,"No, my father didn't fight in the wars.  He was a navigator on a spice freighter.",17
252,BEN,That's what your uncle told you.  He didn't hold with your father's ideals.  Thought he should have stayed here and not gotten involved.,26
253,LUKE,You fought in the Clone Wars?,6
254,BEN,"Yes, I was once a Jedi Knight the same as your father.",12
255,LUKE,I wish I'd known him.,6
256,BEN,"He was the best star-pilot in the galaxy, and a cunning warrior.  I understand you've become quite a good pilot yourself.  And he was a good friend.  Which reminds me...",32
257,BEN,"I have something here for you.  Your father wanted you to have this when you were old enough, but your uncle wouldn't allow it.  He feared you might follow old Obi-Wan on some damned-fool idealistic crusade like your father did.",43
258,THREEPIO,"Sir, if you'll not be needing me, I'll close down for awhile.",14
259,LUKE,"Sure, go ahead.",3
260,LUKE,What is it?,3
261,BEN,Your fathers lightsaber.  This is the weapon of a Jedi Knight.  Not as clumsy or as random as a blaster.,20
262,BEN,"An elegant weapon for a morecivilized time.  For over a thousand generations the Jedi Knights were the guardians of peace and justice in the Old Republic.  Before the dark times, before the Empire.",33
263,LUKE,How did my father die?,5
264,BEN,"A young Jedi named Darth Vader, who was a pupil of mine until he turned to evil, helped the Empire hunt down and destroy the Jedi Knights.  He betrayed and murdered your father.  Now the Jedi are all but extinct.  Vader was seduced by the dark side of the Force.",50
265,LUKE,The Force?,2
266,BEN,"Well, the Force is what gives the Jedi his power.  It's an energy field created by all living things.  It surrounds us and penetrates us.  It binds the galaxy together.",31
267,BEN,"Now, let's see if we can't figure out what you are, my little friend.  And where you come from.",21
268,LUKE,I saw part of the message he was...,8
269,BEN,I seem to have found it.,6
270,LEIA,"General Kenobi, years ago you served my father in the Clone Wars.  Now he begs you to help him in his struggle against the Empire.  I regret that I am unable to present my father's request to you in person, but my ship has fallen under attack and I'm afraid my mission to bring you to Alderaan has failed.  I have placed information vital to the survival of the Rebellion into the memory systems of this R2 unit.  My father will know how to retrieve it.  You must see this droid safely delivered to him on Alderaan.  This is our most desperate hour.  Help me, Obi-Wan Kenobi, you're my only hope.",115
271,BEN,You must learn the ways of the Force if you're to come with me to Alderaan.,17
272,LUKE,"Alderaan?  I'm not going to Alderaan.  I've got to go home.  It's late, I'm in for it as it is.",24
273,BEN,"I need your help, Luke.  I'm getting too old for this sort of thing.She needs your help.",19
274,LUKE,I can't get involved!  I've got work to do!  It's not that I like the Empire.  I hate it!  But there's nothing I can do about it right now.  It's such a long way from here.,41
275,BEN,That's your uncle talking.,5
276,LUKE,"Oh, God, my uncle.  How am I ever going to explain this?",12
277,BEN,"Learn about the Force, Luke.",5
278,LUKE,"Look, I can take you as far as Anchorhead.  You can get a transport there to Mos Eisley or wherever you're going.",23
279,BEN,"You must do what you feel is right, of course.",10
280,TAGGE,Until this battle station is fully operational we are vulnerable.  The Rebel Alliance is too well equipped.  They're more dangerous than you realize.,24
281,MOTTI,"Dangerous to your starfleet, Commander; not to this battle station!",10
282,TAGGE,The Rebellion will continue to gain support in the Imperial Senate as long as....,14
283,TARKIN,The Imperial Senate will no longer be of any concern to us.  I've just received word that the Emperor has dissolved the council permanently.  The last remnants of the Old Republic have been swept away.,36
284,TAGGE,That's impossible!  How will the Emperor maintain control without the bureaucracy?,12
285,TARKIN,The regional governors now have direct control over territories.  Fear will keep the local systems in line.  Fear of this battle station.,22
286,TAGGE,"And what of the Rebellion?  If the Rebels have obtained a complete technical readout of this station, it is possible, however unlikely, that they might find a weakness and exploit it.",31
287,VADER,The plans you refer to will soon be back in our hands.,12
288,MOTTI,"Any attack made by the Rebels against this station would be a useless gesture, no matter what technical data they've obtained.  This station is now the ultimate power in the universe.  I suggest we use it!",37
289,VADER,Don't be too proud of this technological terror you've constructed.  The ability to destroy a planet is insignificant next to the power of the Force.,27
290,MOTTI,"Don't try to frighten us with your sorcerer's ways, Lord Vader.  Your sad devotion to that ancient religion has not helped you conjure up the stolen data tapes, or given you clairvoyance enough to find the Rebel's hidden fort...",42
291,VADER,I find your lack of faith disturbing.,7
292,TARKIN,"Enough of this!  Vader, release him!",6
293,VADER,As you wish.,3
294,TARKIN,This bickering is pointless.  Lord Vader will provide us with the location of the Rebel fortress by the time this station is operational.  We will then crush the Rebellion with one swift stroke.,33
295,LUKE,"It looks like Sand People did this, all right.  Look, here are gaffi sticks, bantha tracks.  It's just... I never heard of them hitting anything this big before.",29
296,BEN,They didn't.  But we are meant to think they did.  These tracks are side by side.  Sand People always ride single file to hide there numbers.,27
297,LUKE,These are the same Jawas that sold us Artoo and Threepio.,11
298,BEN,"And these blast points, too accurate for Sand People.  Only Imperial stormtroopers are so precise.",15
299,LUKE,Why would Imperial troops want to slaughter Jawas?,8
300,LUKE,"If they traced the robots here, they may have learned who they sold them to.  And that would lead them back home!",22
301,BEN,"Wait, Luke!  It's too dangerous.",6
302,LUKE,Uncle Owen!  Aunt Beru!  Uncle Owen!,6
303,VADER,"And, now Your Highness, we will discuss the location of your hidden Rebel base.",14
304,BEN,"There's nothing you could have done, Luke, had you been there.  You'd have been killed, too, and the droids would now be in the hands of the Empire.",30
305,LUKE,I want to come with you to Alderaan.  There's nothing here for me now.  I want to learn the ways of the Force and become a Jedi like my father.,31
306,BEN,Mos Eisley Spaceport.  You will never find a more wretched hive of scum and villainy.  We must be cautious.,19
307,TROOPER,How long have you had these droids?,7
308,LUKE,About three or four seasons.,5
309,BEN,They're for sale if you want them.,8
310,TROOPER,Let me see your identification.,5
311,BEN,You don't need to see his identification.,8
312,TROOPER,We don't need to see his identification.,8
313,BEN,looking for.,2
314,TROOPER,These are not the droids we're looking for.,9
315,BEN,He can go about his business.,6
316,TROOPER,You can go about your business.,6
317,BEN,Move along.,2
318,TROOPER,Move along.  Move along.,4
319,THREEPIO,I can't abide these Jawas.  Disgusting creatures.,8
320,LUKE,"Go on, go on.  I can't understand how we got by those troopers.  I thought we were dead.",19
321,BEN,The Force can have a strong influence on the weak-minded.  You will find it a powerful ally.,18
322,LUKE,Do you really think we're going to find a pilot here that'll take us to Alderaan?,18
323,BEN,"Well, most of the best freighter pilots can be found here.  Only watch your step.  This place can be a little rough.",22
324,LUKE,I'm ready for anything.,5
325,THREEPIO,"Come along, Artoo.",3
326,BARTENDER,We don't serve their kind here!,7
327,LUKE,What?,1
328,BARTENDER,Your droids. They'll have to wait outside.  We don't want them here.,14
329,LUKE,"Listen, why don't you wait out by the speeder.  We don't want any trouble.",16
330,THREEPIO,I heartily agree with you sir.,6
331,CREATURE,Negola dewaghi wooldugger?!?,3
332,HUMAN,He doesn't like you.,5
333,LUKE,I'm sorry.,3
334,HUMAN,I don't like you either,6
335,HUMAN,Don't insult us.  You just watch yourself.  We're wanted men.  I have the death sentence on twelve systems.,20
336,LUKE,I'll be careful than.,5
337,HUMAN,You'll be dead.,4
338,BEN,This little one isn't worth the effort.  Come let me buy you something...,14
339,BARTENDER,No blasters!  No blaster!,4
340,BEN,This is Chewbacca.  He's first-mate on a ship that might suit our needs.,15
341,THREEPIO,I don't like the look of this.,8
342,HAN,Han Solo.  I'm captain of the Millennium Falcon.  Chewie here tells me you're looking for passage to the Alderaan system.,22
343,BEN,"Yes, indeed.  If it's a fast ship.",8
344,HAN,Fast ship?  You've never heard of the Millennium Falcon?,10
345,BEN,Should I have?,3
346,HAN,It's the ship that made the Kessel run in less than twelve parsecs!,14
347,HAN,"I've outrun Imperial starships, not the local bulk-cruisers, mind you.  I'm talking about the big Corellian ships now.  She's fast enough for you, old man.  What's the cargo?",33
348,BEN,"Only passengers.  Myself, the boy, two droids, and no questions asked.",11
349,HAN,What is it?  Some kind of local trouble?,8
350,BEN,Let's just say we'd like to avoid any Imperial entanglements.,12
351,HAN,"Well, that's the real trick, isn't it?  And it's going to cost you something extra.  Ten thousand in advance.",22
352,LUKE,Ten thousand?  We could almost buy our own ship for that!,11
353,HAN,"But who's going to fly it, kid!  You?",9
354,LUKE,You bet I could.  I'm not such a bad pilot myself!  We don't have to sit here and listen...,21
355,BEN,"We haven't that much with us.  But we could pay you two thousand now, plus fifteen when we reach Alderaan.",21
356,HAN,"Seventeen, huh!",2
357,HAN,Okay.  You guys got yourself a ship.  We'll leave as soon as you're ready.  Docking bay Ninety-four.,20
358,BEN,Ninety-four.,2
359,HAN,Looks like somebody's beginning to take an interest in your handiwork.,12
360,TROOPER,"All right, we'll check it out.",7
361,HAN,Seventeen thousand!  Those guys must really be desperate.  This could really save my neck.  Get back to the ship and get her ready.,23
362,BEN,You'll have to sell your speeder.,7
363,LUKE,That's okay.  I'm never coming back to this planet again.,12
364,GREEDO,"Going somewhere, Solo?",3
365,HAN,"Yes, Greedo.  As a matter of fact, I was just going to see your boss.  Tell Jabba that I've got his money.",23
366,GREEDO,"It's too late.  You should have paid him when you had the chance.  Jabba's put a price on your head, so large that every bounty hunter in the galaxy will be looking for you.  I'm lucky I found you first.",43
367,HAN,"Yeah, but this time I got the money.",8
368,GREEDO,"If you give it to me, I might forget I found you.",12
369,HAN,I don't have it with me.  Tell Jabba...,9
