"id","senador","text","rol","genero","palabras"
"61","Lousteau","gracias senadora tiene la palabra el senador humberto schiavoni","presidente","Hombres",9
"62","Schiavoni","se escucha presidente","senador","Hombres",3
"63","Lousteau","se escucha pero tiene la imagen congelada por ahí si apaga la cámara se lo va a escuchar mejor","presidente","Hombres",19
"64","Lousteau","senador","presidente","Hombres",1
"65","Schiavoni","es la segunda vez en dos años que estamos tratando este tema y como bien lo dijo quien me antecedió en el uso de la palabra este debate tuvo su antecedente en el debate que se habilitó en 2018 luego de estar por décadas por décadas clausurado este tema que era un tema tabú para la política argentina y para la sociedad argentina y la verdad es que esto es absolutamente transversal a todos los espacios políticos y tiene un antecedente en la habilitación de este debate que hizo el gobierno anterior o sea que flaco favor le haríamos a esta causa de ampliación de derechos si la intentamos partidizar y tomar como una bandera de cálculo político como pudimos ver en algunos discursos creo que esto es producto de la lucha de miles y miles de mujeres que en los últimos años y décadas vinieron bregando y denunciando los atropellos y las injusticias a las que se vieron sometidas entonces creo que este es un punto básico tenemos que ser absolutamente conscientes de que es un avance de la sociedad de esta lucha de las mujeres y no pertenece a ningún sector político porque acá estamos de diferentes sectores políticos apoyando la ley más allá de nuestra pertenencia a un partido político o a un frente la verdad es que es un tema que como decía tiene décadas y décadas de no poder tratarlo mientras los abortos se siguen haciendo ya tenemos casi un siglo de que está penada en nuestro ordenamiento legal la práctica del aborto tanto para la mujer que se hace el aborto como para aquellos que ayudan a practicarlo pero esto impidió que miles de mujeres todos los años se practicaran abortos y lo hicieran de la peor manera posible sobre todo aquellas mujeres de más bajos recursos no impidió no impidió y hay mujeres que mueren y hay mujeres que pierden la capacidad reproductiva invariablemente en todos los casos hay un daño psicológico un daño moral para aquella mujer que pasa por este trance porque se hace de la peor manera posible en lugares clandestinos con sordidez sin los recaudos sanitarios mínimos y necesarios para evitar que se pierdan vidas o que se lesione el aparato reproductivo de la mujer entonces es un tema que tenemos que abordarlo y tenemos que afrontarlo y bienvenido sea que en 2018 se habilitó el debate y bienvenido sea que nuevamente estemos tratando este tema hoy con esta media sanción que vino de la cámara de diputados en mi provincia en misiones más del 70 por ciento de las adolescentes menores de 19 años declaran en el posparto que eran embarazos no deseados claramente no es el mejor contexto para llevar adelante la maternidad también mi provincia tiene la tasa de fecundidad más alta del país en las niñas de 10 a 14 años estos embarazos en muchos de los casos son producto de violencia intrafamiliar vamos a condenar a estas niñas a ser madres por no resolver de una buena vez y por todas este tema que ha tenido resolución en prácticamente gran parte de los países del mundo entonces tenemos que ser conscientes de que acá también estamos ante los derechos de la mujer ante los derechos de decidir respecto del destino de su vida esto no puede ser un derecho de segundo orden es más es un derecho que debe prevalecer sobre otros y hay suficiente jurisprudencia comparada que sacraliza este derecho de la mujer por eso yo al igual que en el año 2018 anticipo mi voto favorable al proyecto aplaudo las modificaciones y las observaciones que ha hecho la miembro informante respecto de cuestiones que habían sido debatidas en el seno de la comisión quiero ser muy conciso señor presidente quiero manifestar mi apoyo a este proyecto a esta media sanción también a la ley de los mil días que es complementaria y que también es absolutamente necesaria desde el punto de vista de la salud pública muchísimas gracias","senador","Hombres",666
"66","Lousteau","muchas gracias senador schiavoni senadora silvia sapag su turno en el uso de la palabra","presidente","Hombres",15
"67","Sapag","muchas gracias presidente historias del siglo cuando se tienen setenta años parecen recientes vengo de una época en que a las niñas no se les permitía andar en bicicleta porque sus madres debían entregarlas a sus maridos","senador","Mujeres",37
"68","Sapag","castas cosa que peligraba si te golpeabas con la bici quién te iba a creer la excusa vengo de una época en que a las hijas no se les permitía estudiar en la universidad porque lo que tenía que hacer una mujer era conseguir un buen marido cuando yo nací las mujeres no votábamos no heredábamos no podíamos administrar nuestros bienes no podíamos tener cuentas bancarias no teníamos tarjeta de crédito no podíamos ir a la universidad cuando yo nací las mujeres no teníamos la patria potestad compartida sobre nuestros hijos no nos podíamos divorciar no había jubilación de ama de casa no había matrimonio igualitario no era obligatorio inscribir a las mujeres en el registro de las personas las mujeres cuando yo nací no éramos nadie hemos logrado todo esto gracias a la lucha de mujeres que empujaron y empujaron y gracias a colectivos de mujeres que empujaron y empujaron porque tuvieron consciencia de que su vida era injusta y también hemos logrado cosas gracias a que hemos tenido en la política mujeres preclaras como evita que nos otorgó el derecho al voto a las mujeres o cristina nuestra presidenta del senado con su jubilación de amas de casa que le dio estatus de trabajo a algo que nunca había sido considerado como tal y si por lo menos no se nos dio paga mientras lo realizábamos sí se nos reconoció en edad adulta hoy venimos hablar del horror brutal que es aborto clandestino por supuesto estamos hablando de poder no se le quiere reconocer la soberanía de la mujer sobre su cuerpo porque la prueba de la potencia del varón no puede dejarse al arbitrio de la mujer venimos a decirles a todos que toda vez que las mujeres interrumpimos un embarazo no querido hacemos caer en desuso y volvemos inimplementable la ley que penaliza la práctica del aborto el control del estado sobre nuestros cuerpos y el control de la iglesia sobre nuestra sexualidad estas son prácticas nuestras de rebeldía de empoderamiento de libertad y son boicoteadoras de la maquinaria estatal y del control religioso de la sexualidad hoy venimos a decirles que se desconfía de la capacidad de las mujeres para decidir que se está romantizando el embarazo forzado que se subestima el abuso sexual que se relativiza el daño sobre la salud mental emocional y física y que existe tal superposición de maltratos a niñas adolescentes y adultas cuando se les niega el derecho venimos a decirles basta de trato inquisitorio basta de trato inquisitorio venimos a decirles que es urgente que se vote la ley porque queremos que nos traten con cuidado amorosamente con comprensión con conocimiento con preocupación con respeto como lo hace la revuelta en la provincia de neuquén que es un colectivo que ha instituido el socorro rosa donde se escucha a las mujeres se les da la información y se las acompaña conjuntamente con el hospital castro rendón donde en el consultorio tea que significa te acompaño donde médicas y residentes médicas de la universidad nacional del comahue de su facultad de medicina realizan en ese consultorio las prácticas atendiendo a las mujeres en su interrupción voluntaria del embarazo allí nos atienden con todo cariño con todo su conocimiento poniendo a nuestra disposición su amorosidad y su sororidad con gran emoción debo decirles que siento en mi piel la lucha de cada una de las mujeres de cada una de las colectivas de la comisión por el derecho al aborto y de la gente de la campaña siento en mi piel la emoción de acordarme de evita de cristina que nos dieron el voto y la jubilación de la ama de casa siento en mi piel la emoción de cada una de las que perdieron la vida de las mutiladas de las criminalizadas de las niñas violadas de los niños huérfanos siento la gran emoción de cada una de las pibas las jóvenes y viejas que están afuera que están luchando que están dándonos fuerza para esta ley salga siento gran emoción por toda la descendencia de todas nosotras de las que fueron de las que están afuera y de las que estamos adentro por todas ellas señor presidente que sea ley","senador","Mujeres",702
"69","Lousteau","muchas gracias senadora tiene la palabra el senador maurice closs","presidente","Hombres",10
"70","Closs","gracias señor presidente en principio quiero felicitar a todos en especial a los que están en la calle de uno y de otro lado sea con el pañuelo celeste o con el pañuelo verde por sobre todas las cosas plantear de que más allá de las visiones distintas en estas posturas y en el discurso no voy a hablar de extremos creo que los extremos en una y otra apreciación no ayudan yo en lo personal no me siento responsable de ninguna de las muertes ocurridas después de 2018 por haber votado en contra y no hago responsable de ningún asesinato u homicidio a nadie que tenga el pañuelo verde para nada estamos debatiendo un ordenamiento jurídico con muchas aristas en el congreso de la nación y cada uno tiene todo el derecho del mundo a expresar su posición por eso no solo felicito a quienes están en la calle sino también valoro y respeto la opinión de cada uno de los colegas estén del lado que estén cada uno tiene su postura y de mí merecen el mayor de los respetos como también quiero que respeten mi posición más allá de las cosas que uno va a ir tomando como eje del discurso en los próximos minutos sé también que es una decisión del presidente la de mandar este proyecto de ley que la ha cumplido no evalúo ni me pongo en análisis del tiempo o la oportunidad fue su compromiso de campaña lo hizo en el primer discurso es un compromiso del titular del ejecutivo que tiene una cabal comprensión de un sistema republicano donde cada uno puede pensar y más en un tema como este el senador preopinante por misiones lo dijo con absoluta claridad no se debe partidizar esta cuestión por eso se dan casos donde un senador de una provincia y de un partido político vota en un sentido y yo de otro color político y de la misma provincia voto en otro sentido justamente porque no hay que politizar este tema el presidente sabe que en mi caso y el de todo el bloque muchos votaremos en contra tiene nuestro acompañamiento y cada una de las veces que tuvimos que estar estuvimos acompañando las decisiones del poder ejecutivo nacional y lo seguiremos haciendo por último quiero decir que una votación como esta está teñida de razones personales de razones familiares de razones afectivas también de enfoques religiosos pero que no van a ser motivo de mi argumentación me voy a focalizar señor presidente en lo que yo creo que es el rol del estado las responsabilidades del estado y por sobre todas las cosas el rol de las provincias eje de mi discurso del año 2018 que no se ha subsanado muy por el contrario se ha profundizado en la ley que hoy se propone que venimos a votar tres cosas quiero hablar primero el rol del senado de la nación segundo lo que se quiere presentar como un cambio cultural o social y tercero lo que es una ley de orden público el rol del senado de la nación en esa ley como en tantas otras yo entiendo que el senado debería cumplir su rol de revisión revisar significa revisar no votar una ley que se sabe que tiene errores y que después se resuelva con la reglamentación legislación de inferior jerarquía o con el veto remedio presidencial para corregir alguna cosa en este caso a mí me hubiera gustado que si hubiera votos que podrían sumar se hubiera comportado el senado en su rol de revisión cosa que parecería que no va a ocurrir porque por lo que entendí se propone votar tal cual está y en todo caso algunas correcciones por el veto o la reglamentación cosa que insisto no me parece la técnica legislativa más acertada mucho menos aún para un tema como este en segundo lugar quiero hablar de lo que se denomina el cambio cultural el avance social o ganar derechos quiero decirles que creo una vez más que estamos siendo de alguna manera sometidos a una visión que ni siquiera sé si es mayoritaria pero por lo menos suena fuerte en el centro del país especialmente en la capital en las zonas cercanas de ese voto urbano tan fuerte de este país macrocéfalo que tenemos la verdad es que si yo tengo que guiarme por lo que ocurre en la provincia de misiones el rechazo a esta ley es ampliamente mayoritario y me parece que lo mismo ocurre en otras provincias en especial del norte argentino no es que seamos mejores o peores que las otras provincias o que estemos más acertados pero es nuestra realidad nuestra historia nuestra idiosincrasia la presencia de las religiones y tantas otras cosas que hacen que los misioneros estén mayoritariamente en contra de esta ley y no tengo dudas de eso por eso digo que no nos vengan a correr desde una visión centralista de que hay un cambio cultural de que esto es innovación de que esto es ampliación de derechos de que esto es progresismo no podrá ser la visión o el paradigma de un momento de la historia en un lugar de la historia pero no en el país profundo por el caso de la provincia de misiones por eso quiero decir que en forma de una visión cultural mayoritaria social y cultural de la provincia de misiones y creo de otras provincias el rechazo también es mayoritario más allá de cuanta gente haya en las calles la única forma de contar los votos hubiera sido a través de un plebiscito se habló de esto en el debate del 18 también pasó en algún momento pero no es la posición mayoritaria la que está a favor de esta legislación para nada y mucho menos aun en el norte una vez más respetando que cada provincia tiene su idiosincrasia su historia sus tradiciones y no es mejor que la otra sino que tiene una opinión en cuenta en un momento histórico por último quiero hablar de lo que tiene que ver con el orden público tan difícil está que salga esta ley y mucho más de su cumplimiento que se plantea que sea una ley de orden público miren las leyes de orden público son aquellas que tienen un enorme consenso y como es tan fuerte el consenso desde el congreso de la nación que sabe que a veces actúa con facultades delegadas se establecen artículos que dicen que es de orden público para que todas las provincias la tengan que cumplir pero en este caso la situación es absolutamente distinta no hay unanimidad en las provincias y de la misma manera que planteé hace dos años no sé si son muchos o pocos los recursos porque esto no es una cuestión cuantitativa esto es una cuestión cualitativa en todo caso las que deben decidir sus políticas son las provincias ni siquiera somos federales a la hora de analizar esta cuestión las provincias que son las que tienen el sistema de salud son las que se tienen que hacer cargo de una ley con la que no están de acuerdo al pasar una vez más con todo respeto una legisladora preopinante dijo que a la mayoría de los médicos de la salud pública de su provincia no les gustaba y presentaban objeción de conciencia eso es así en el sistema y mucho más en la salud pública no se quieren hacer los abortos dentro del sistema de salud pública por lo menos es la visión mayoritaria en la provincia de misiones otra senadora dijo también acertadamente que hay un negocio de la clandestinidad cierto claro pero justamente los que están en la salud pública no son los que están en ese negocio al contrario son los que han hecho de la medicina un negocio y en este caso de la marginalidad por eso creo que esta no es una ley de orden público para nada para nada y es una ley que no va a obligar con certeza a que el aparato de salud de muchas provincias ponga esto como una prioridad como lo dije la vez pasada no tengo duda de que hay que sacar la cuestión de la clandestinidad no tengo duda de que hay que discutir una cuestión de fondo en el código penal que sí es una competencia del congreso de la nación y en todo caso que tenga algunas facultades el ministerio de salud de la república argentina pero no creo que esta sea una ley de orden público y no creo que sea una ley que vaya a encaminarse a salvar más vidas cuando uno ve una cosa de orden público que las provincias lo sienten así no hace falta escribir que es de orden público lo que vimos esta mañana todas las provincias vacunando a su personal de salud al unísono a la misma hora eso es orden público es algo en que por consenso todos los argentinos están de acuerdo y por eso se ejecuta y se cumple con esperanza también con las dudas del caso en cada uno de los rincones de la patria pero pensar que porque nosotros hagamos esta ley hoy y digamos que es de orden público los médicos de la salud pública especialmente de todo el país van a ir gustosos a cumplir y a hacer abortos no señor estamos equivocados entonces resumiendo señor presidente con todo respeto a los que piensan distinto valorando la expresión de cada una de las voces celestes y verdes respetando a mis colegas que piensan distinto y pidiendo que respeten también mi posición valorando el cumplimiento de la palabra del presidente de la república que ha mandado el proyecto de ley voy a votar una vez más en forma negativa sosteniendo que para mí no es una prioridad de salud pública que no es un cambio cultural o social que el misionero por lo menos lo reclama y que lejos está de ser una cuestión de orden público gracias señor presidente y feliz año nuevo a todos los colegas y a todos los argentinos muchas gracias","senador","Hombres",1686
"71","Lousteau","gracias senador tiene la palabra la senadora marilin sacnun","presidente","Hombres",9
"72","Sacnun","gracias presidente la verdad es que celebro que estemos discutiendo este proyecto de ley que llega como iniciativa del poder ejecutivo nacional y en revisión de la cámara de diputados de la nación me parece que es muy sano para nosotros como sociedad poder discutir de cara a la comunidad un tema tan importante tan trascendente que hace a los derechos de las mujeres y de las personas gestantes la verdad es que mientras iba siguiendo el debate pensaba en la constitución de la nación argentina porque hoy hemos escuchado múltiples alocuciones haciendo reflexiones en torno a los principios de la constitución nacional de los tratados de derechos humanos incorporados oportunamente con jerarquía constitucional a nuestra carta magna en ese sentido mientras también por supuesto estamos todos quienes estamos hoy en el congreso de la nación argentina escuchando fuera a quienes se están manifestando pensaba que la constitución la verdad es que no es un texto muerto la constitución de la nación argentina también se va recreando con la interpretación de los tribunales con el propio congreso de la nación argentina dictando leyes que reglamentan el ejercicio de los derechos de las garantías de los deberes que establece la constitución nacional la verdad es que ni la convención americana de derechos humanos incorporada a nuestra constitución ni la convención sobre los derechos del niño ni razones de federalismo escuchaba recién lo que planteaba recién el senador preopinante ni el artículo 75 inciso 23 de nuestra constitución nacional son óbice para que el senado pueda aprobar este proyecto de ley que llega de la cámara de diputados de la nación tampoco es óbice pensar en cuestiones que tengan que ver con cuáles van a ser los costos de la salud pública mire presidente en el día de hoy me llegó un informe muy interesante del observatorio de géneros del cepa en base a datos de la dirección de estadísticas e información de salud del ministerio de salud de la nación y fíjese usted lo que dice este informe en argentina se realizan 450000 abortos clandestinos por año entre 2010 y 2017 en promedio egresaron de hospitales públicos 45600 personas gestantes por año por abortos incompletos es posible que en la provincia del senador preopinante no sean los médicos del sector público los que practican abortos en la clandestinidad pero seguramente parte de esos médicos deben culminar con la atención en el sistema de salud público de esos abortos que se inician en la clandestinidad la convención americana de derechos humanos que como decía antes desde 1994 posee rango constitucional no consagra un derecho absoluto a la vida el artículo 4° punto 1 que establece el derecho a la vida en general a partir del momento de la concepción implica sin lugar a dudas un deber de protección de la vida con carácter gradual e incremental así lo han manifestado múltiples expositores que pasaron no solamente por las comisiones tanto de la cámara de diputados como de la cámara de senadores en este proceso de debate sino también en el proceso de debate de la ley en el año 2018 incluso han explicado que esa frase en general presente en la redacción de ese artículo se debió justamente a la necesidad de respetar las regulaciones que ya tenían muchos de los países que firmaron que formaron parte de esa convención americana de derechos humanos entre ellos la propia república argentina que desde el año 1921 reconoce el aborto con causales tanto la comisión como la corte interamericana son órganos competentes para conocer los asuntos relacionados con el cumplimiento de los compromisos contraídos por los estados partes de la convención americana de derechos humanos nuestra corte suprema de justicia de la nación ha sostenido concretamente que las interpretaciones de estos organismos y cortes son justamente parte de las condiciones de vigencia de esos tratados también la convención sobre los derechos del niño hemos tenido la oportunidad de escuchar a luis pedernera al presidente del comité de los derechos del niño en el ámbito de la discusión en el senado de la nación argentina quien fue contundente voy a volver después sobre las manifestaciones que ha planteado dice que la argentina claramente no ha realizado no ha formalizado ningún tipo de reserva en ese sentido según se desprende justamente de la propia ley 23849 de aprobación de esa convención sobre los derechos del niño presidente me parece que el federalismo tampoco puede usarse para alegar la inconstitucionalidad del proyecto de ley como hemos escuchado anteriormente una cuestión fundamental del derecho constitucional es entender cómo opera el principio de supremacía de la constitución de la nación argentina justamente nos dice que ninguna regla desde el punto de vista provincial concretamente puede contrarrestar o contrariar lo establecido por la constitución de la nación argentina ese piso mínimo que establece la constitución nacional debe ser ineludiblemente respetado los derechos a la igualdad a la no discriminación y a la autonomía no admiten interpretaciones provinciales de manera tal que no hay federalismo que pueda obturar justamente el ejercicio de estos derechos protegidos por la constitución de la nación argentina la verdad es que las provincias ya están obligadas a garantizar los abortos no punibles que no lo hagan es otro tema que oportunamente se haya tenido que expedir la corte suprema de justicia de la nación en el caso fal para que justamente la interrupción legal del embarazo se pudiera efectivizar en la república argentina no significa que las provincias no estén obligadas a esto también tenemos un principio de igualdad que es el que establece el artículo 16 de la constitución nacional un principio de igualdad que está claramente violentado cuando criminalizamos y penalizamos a las mujeres por condenarlas a practicar un aborto clandestino la verdad es que esto también tiene que ver con el derecho de autonomía consagrado en el artículo 19 de la constitución nacional y con el pleno ejercicio de los derechos humanos consagrados en el artículo 75 inciso 22 brevemente porque aquí se ha discutido se ha debatido o se ha planteado en algún momento el caso artavia murillo y otros planteando que no tiene absolutamente nada que ver con el derecho interno en la república argentina presidente la verdad es que no es así no lo comparto porque esto tiene que ver con una decisión de la corte interamericana de derechos humanos de noviembre de 2012 qué dijo la corte interamericana en ese fallo la verdad es que hace un balance ese fallo entre los derechos y los intereses en conflicto en definitiva eso es lo que se hace cada vez que se interpreta la constitución nacional existen derechos en conflicto y en este caso la corte interamericana ha reconocido concretamente la protección de la vida prenatal pero en lo que se diferencia dicho interés de la titularidad del derecho a la vida recalcando justamente que todo intento para proteger dicho interés debe ser armonizado con los derechos fundamentales de otras personas en especial de las personas gestantes hoy escuché hablar del derecho a la vida pero vi cómo se excluían en muchos casos a las personas gestantes a las mujeres a la hora de preservarlas a la hora de cuidarlas quiero también hacer mención a lo que dijo pedernera el presidente del comité de los derechos del niño concretamente él planteó que el comité ya había dado recomendaciones a la república argentina tanto en 2010 como en 2018 para poder avanzar con un proyecto de ley de interrupción voluntaria del embarazo de ninguna manera como ya lo han dicho senadoras y senadores preopinantes pero fundamentalmente las compañeras senadoras de esta cámara se está previendo un estado que promueva el aborto acá no estamos hablando de un estado que promueva o incentive el aborto estamos hablando de un estado que reconoce la existencia del aborto el aborto existe existió y va a seguir existiendo discutir binariamente o creer que esto se trata de abortistas o antiabortistas en el ámbito de una grieta es de un reduccionismo inaceptable tenemos que comprender que lo que estamos dirimiendo acá es si el estado va a acompañar a las mujeres que deciden interrumpir su embarazo y que lo hacen esté penalizado o no pero lamentablemente la penalización la criminalización las condena fundamentalmente a las más pobres a morir en la clandestinidad y con el oprobio además para muchas de ellas en casos en los que no se ha producido la muerte esposadas en sus camas en los hospitales públicos o con una faja de seguridad en las puertas de esas salas donde terminan internadas con presencia policial o muchas de ellas en comisarías o como en el caso de belén presa por más de 900 días por haberse practicado un aborto las recomendaciones del presidente del comité de los derechos del niño concretamente planteaban la importancia de preservar la salud de nuestras niñas de preservar justamente la salud sexual y reproductiva de nuestras niñas de nuestras adolescentes y también quiero incorporar algo desde el punto de vista legal que todavía no se ha mencionado y que que tiene que ver con lo que dijo la doctora stella manzano quien contó en el ámbito de las comisiones que vio ni bien recibida practicar un legrado sin anestesia a una mujer y ella planteaba cuando eso se hace estamos frente a una situación de tortura que es lo que dice el informe del relator especial sobre la tortura y otros tratos o penas crueles inhumanos o degradantes en cuanto a lo que deben padecer aquellas mujeres que son condenadas a un aborto en la clandestinidad mire presidente hay una política penal selectiva en la república argentina no solamente con este delito pero que avanza fuertemente contra las mujeres en cuanto a la penalización del aborto y fundamentalmente a las mujeres pobres las otras por supuesto se lo practican en una clínica privada que seguramente se dedica a eso pagan costosos honorarios y absolutamente nadie se entera las criminalizadas las penalizadas son claramente las mujeres pobres en nuestro país hay muchos informes algunos son subregistros hablando de la cantidad de penalizaciones algunos tomados de notas concretamente que se han publicado en la prensa otros informes que proceden de los ministerios públicos fiscales de las provincias pero la verdad es que tenemos que plantear con muchísima claridad que lo que estamos discutiendo es aborto clandestino o aborto legal desde agosto de 2018 cuando fue rechazado el proyecto de ley al menos quince mujeres y niñas perdieron la vida por abortos inseguros y yo en esa oportunidad en el 2018 decía que cada muerte que se producía en la argentina por aborto clandestino era sin lugar a dudas un femicidio de estado por omisión porque el estado está omitiendo garantizarles a las mujeres poder practicarse un aborto en la seguridad de un hospital público en absoluta legalidad el estado debe legislar teniendo en cuenta a las personas gestantes interpretando armónicamente la constitución nacional y así es como creo que debemos considerarlo presidente yo creo en la sororidad de las mujeres creo en esta humanidad transversal que se fue dando en este caso en esta cámara entre las senadoras que más allá de los posicionamientos partidarios políticopartidarios tenemos la profunda convicción de que no estamos obligando a nadie a hacer lo que no quiera hacer por supuesto que aquellas mujeres que quieran continuar maternando que quieran llevar adelante sus embarazos deben poder hacerlo y deben contar también con el estado para que las acompañe para que no haya ninguna mujer que por sus condiciones sociales sea empujada a practicarse un aborto pero sí creemos en que todas aquellas que quieran hacerlo en libertad puedan hacerlo con un estado que también las acompañe voy redondeando presidente porque sé que ya me queda poco tiempo pero permítame que pueda hablar con nombres propios porque no puedo dejar de mencionar emocionada a ana maría acevedo ana maría acevedo era una santafesina de la ciudad de vera a quien en la ciudad de santa fe capital se le negó un aborto no punible ana maría tenía tres hijos tenía veinte años le encontraron un carcinoma le encontraron un cáncer por lo que necesitaba iniciar un tratamiento inmediato por múltiples dilaciones fundadas fundamentalmente en objeciones de conciencia en posicionamientos religiosos fue condenada por el sistema a morir ese fue claramente un femicidio de estado y dejar a sus tres niños huérfanos en nombre de ana maría en nombre de lucía esa nena de once años violada por su abuelastro que le dijo a la médica que la atendió que le sacaran esa cosa que le había puesto el viejo adentro en nombre de belén en nombre de las miles y miles de mujeres y de pibas que hoy están no solamente en esta plaza aquí frente al congreso de la nación argentina sino en las plazas de mi provincia que han trabajado y que han luchado por obtener esta ley para que nos dejen de subestimar a las mujeres para que dejen de adueñarse de nuestros cuerpos de nuestra voluntad de nuestras voces de nuestra autonomía de nuestro deseo por la educación sexual para decidir los anticonceptivos para no abortar y el aborto legal para no morir por esas consignas que escuchamos por esa sororidad por esa humanidad por ese abrazo que sea ley gracias presidente","senador","Mujeres",2219
"73","Lousteau","muchas gracias senadora tiene la palabra el senador roberto basualdo","presidente","Hombres",10
"74","Basualdo","gracias señor presidente hoy es un día en el que estamos tratando una ley muy importante más allá de que considero que no es el momento el presidente lo prometió en campaña lo dijo el 1° de marzo pero no sabíamos que iba a haber una pandemia hoy todos queremos cuidar vidas sabíamos que esta ley iba a tener muchas pasiones en las calles que iba a venir mucha gente a apoyar de una manera o de otra y estamos poniendo en riesgo a todos los que están ahí en la calle más allá de que hay habido opiniones irreconciliables de los que apoyan la ley o de los que no apoyamos la ley hoy no era el momento pero tenemos que votarla cuando empezamos a trabajar esta ley o leyes pasadas que vinieron en 2012 2013 o 2014 que habían entrado en diputados primero empecé a estudiar el tema empecé a trabajar a invitar a muchos especialistas en el tema que opinaban de una manera y de otra yo tenía un pensamiento totalmente más amplio pensaba diferente cuando empecé a escuchar a las partes a los especialistas me di cuenta de que más que pensamiento amplio tenía desconocimiento la verdad es que no había tenido una educación sexual como me hubiera gustado tener ni tampoco hice nada para aprenderla ni mis padres me la dieron y peor ni se la transmití a mis hijas que es fundamental y con todo esto que estamos hablando con el énfasis que se le pone las ganas y las garras que le ponen a todo este tema de la ley del aborto voluntario o no creo que tendríamos que estar hablando de cómo hacer para prevenir yo mismo presenté un proyecto de profilaxis de prevención de la ley de embarazo para que se haga una gran campaña publicitaria para prevenir así como estamos ahora todos luchando tendríamos que estar todos unidos previniendo y no se logró creo que esto no nos va a llevar a nada indudablemente esta ley no nos sirve por eso después de informarme cuando creía que tenía la mente amplia me di cuenta que tenía desconocimiento por eso voy a votar en contra esta ley creo que no sirve no nos viene bien tenemos que juntarnos todos más allá de cómo salga el resultado después de diez o doce horas de debate tendríamos que trabajar todos y unirnos para poder tener un buen trabajo de prevención muchísimas gracias señor presidente","senador","Hombres",411
"75","Lousteau","gracias senador senadora laura rodríguez machado la palabra la tiene usted","presidente","Hombres",11
